"996367420102311",,"Earth: the restless planet.","g"
"996410700102311",,"Notions of stinking oceans?","g"
"995969320102311",,"Ernest East","g"
"995874040102311",,"Richard Scarrys funniest storybook ever","r"
"996368360102311",,"Mellow memories","g"
"995814250102311",,"Romeo and Juliet","g"
"996002010102311",,"The feast.","g"
"996158460102311",,"Speaking Shakespearean verse","g"
"996276210102311",,"How nations are governed","g"
"996368350102311",,"The Soul experience","g"
"996389660102311",,"It's a wonderful life.","g"
"996461170102311",,"A writers' inspiration, Appalachia","g"
"995867130102311",,"How the Grinch stole Christmas","r"
"995692740102311",,"Facts about the Presidents","r"
"995766330102311",,"[Photographs of Norris Dam construction.]","g"
"995942390102311",,"[Grand Canyon and Havasupai photographs.]","g"
"996265040102311",,"Secondary reservoir porosity in the course of sandstone diagenesis.","g"
"995895110102311",,"Rational emotive therapy","g"
"996365610102311",,"Scholastic's Black culture program","g"
"996266940102311",,"Structural interpretation of seismic data","g"
"996252120102311",,"Rime burlesche","r"
"995895150102311",,"I shall moulder before I shall be taken","g"
"996368370102311",,"Heartland reggae","g"
"995870270102311",,"Andy and the lion","r"
"996266960102311",,"Diagenesis","g"
"996288010102311",,"Justice Black and the Bill of rights.","g"
"996366520102311",,"The Other side of Nashville","g"
"996446420102311",,"Cinderella","g"
"996457420102311",,"The Evolution of the southern oceans","g"
"995874820102311",,"Little bears visit","r"
"996437840102311",,"Why man creates","g"
"995809030102311",,"Mexico: the frozen revolution.","g"
"995702400102311",,"Castration of the dog","g"
"995888280102311",,"A Perfectly normal day.","g"
"996367470102311",,"Our dynamic Earth.","g"
"995744260102311",,"Groundwater","g"
"996230200102311",,"Dealing with angry customers","g"
"996406910102311",,"[Field problems of tropical rice","g"
"995898450102311",,"From periodotite to granite","g"
"996395960102311",,"Life goes to the movies","g"
"995870860102311",,"The twenty-fourth book of the Iliad","r"
"996341930102311",,"Women artists","g"
"996463380102311",,"The Who rocks America, 1982 American tour","g"
"995863350102311",,"The Ragged revolution","g"
"996311680102311",,"Cantometrics :","g"
"996396980102311",,"The History of the European theatre","g"
"996464710102311",,"Wagner's Ring.","g"
"996464690102311",,"Wagner's Ring.","g"
"996464670102311",,"Wagner's Ring.","g"
"995761760102311",,"Indian history for young folks","r"
"995822760102311",,"A Case of working smarter, not harder","g"
"996402140102311",,"Stratigraphic modeling and interpretation","g"
"996057130102311",,"Lavas of Etna","g"
"996408840102311",,"Humor and satire","g"
"995800590102311",,"Iphigenia","g"
"996341950102311",,"Women artists","g"
"995706780102311",,"Men and their planet","g"
"996193790102311",,"Street scene","g"
"995841480102311",,"The Ceramic world of Shiro Otani","g"
"996264660102311",,"The Age of uncertainty","g"
"996165770102311",,"The American Mother Goose","r"
"995874880102311",,"The night before Christmas","r"
"996370830102311",,"Macbeth","g"
"996099110102311",,"Drug induced extrapyramidal reactions.","g"
"996278940102311",,"Vantage point","g"
"995808990102311",,"The kids are alright","g"
"995830320102311",,"Epidemic! kids, drugs, and alcohol","g"
"995969330102311",,"Nimrod Workman.","g"
"996413290102311",,"Herbie Hancock and the Rockit Band","g"
"995681520102311",,"Poems","r"
"996091890102311",,"Dissociative anesthesia.","g"
"996407220102311",,"The new tenant /","g"
"995707870102311",,"Our mineral world","g"
"995969470102311",,"Genuine risk","g"
"995875320102311",,"Stardust Mother Goose","r"
"995750520102311",,"Fossils, clues to the past","g"
"996404980102311",,"Candide","g"
"996101330102311",,"Bonus march 1932","g"
"995941810102311",,"Thoracic inlet, thoracic trachea, and bronchial collapse","g"
"996224580102311",,"America 1935-1946","g"
"997740970102311",,"Granby's primates","g"
"997805400102311",,"Julius Caesar","g"
"997922250102311",,"The Americans","g"
"998037290102311",,"Multi-image production packet.","g"
"997778880102311",,"The Image makers","g"
"997824140102311",,"Tadao Ando","g"
"997984430102311",,"Combat for the stage & screen","g"
"997748110102311",,"Aristotle's ethics","g"
"997884060102311",,"Music education support groups","g"
"997899510102311",,"Arnold Schoenberg","g"
"997952350102311",,"Corner in wheat","g"
"997857210102311",,"Bidú Sayão in opera & song","g"
"997881200102311",,"Salome","g"
"997922160102311",,"The Garden of forking paths","g"
"997836420102311",,"Old English--Beowulf","g"
"997910380102311",,"Arbuckle festival","g"
"997910690102311",,"True colors","g"
"998034100102311",,"Universe.","g"
"997804830102311",,"The history of bands in America","g"
"997835970102311",,"Renata Scotto in concert","g"
"997828880102311",,"Victoria de los Angeles : the jubilee recital.","g"
"997927440102311",,"Charlie Rose","g"
"997906980102311",,"Rhythm and movement in art","g"
"997910580102311",,"The Rise of Greek tragedy","g"
"997925820102311",,"Yari no Gonza","g"
"997829740102311",,"Maria Callas","g"
"997791710102311",,"Presenting Joan Sutherland","g"
"997884110102311",,"History of popular music","g"
"997881210102311",,"Die Meistersinger von Nürnberg","g"
"997922230102311",,"Get up, stand up","g"
"997824880102311",,"La Bohème","g"
"997827070102311",,"Maria Callas Hamburg concert 1962","g"
"997884040102311",,"Aaron Copland","g"
"997922200102311",,"In women's hands","g"
"997885480102311",,"Food guide pyramid","k"
"997984400102311",,"The Sacrifice","g"
"997922220102311",,"Builders of images","g"
"997794690102311",,"Roberta Peters in opera and song","g"
"997803020102311",,"Motherlove","g"
"997884100102311",,"The Child's singing voice","g"
"997864020102311",,"Behavioral interviewing with couples","g"
"997807470102311",,"Manon","g"
"997832000102311",,"Sounding brass","g"
"997922190102311",,"Mirrors of the heart","g"
"997858870102311",,"Robert Merrill in opera and song","g"
"997926520102311",,"They don't wear black tie","g"
"997859070102311",,"Eleanor Steber in opera and song","g"
"997926020102311",,"TV newsroom : news gathering","g"
"998039250102311",,"Paul Soldner","g"
"997923300102311",,"Mind of a serial killer","g"
"997743660102311",,"The love poems of John Donne.","g"
"997807490102311",,"I live for art","g"
"997884010102311",,"Dorothy Kirsten in opera and song","g"
"997884050102311",,"George Frideric Handel","g"
"997807180102311",,"Integrating the arts","g"
"997923360102311",,"Sensei","g"
"997790590102311",,"The Improvisor's guide to transcription","g"
"997831890102311",,"Saturday night, Sunday morning","g"
"997922240102311",,"Fire in the mind","g"
"997884030102311",,"Fryderyk Franciszek Chopin","g"
"997857230102311",,"Helen Traubel in opera and song","g"
"997790400102311",,"Early music education with Suzuki","g"
"997881230102311",,"Johann Sebastian Bach","g"
"997864880102311",,"Japanese pilgrimage","g"
"997877010102311",,"L'incoronazione di Poppea","g"
"997861790102311",,"Suzuki-Starr videotapes","g"
"998040780102311",,"Jean-Michel Basquiat (1960-1988)","g"
"997884070102311",,"Computer programs for writing music","g"
"997858490102311",,"Eleanor Steber in opera and song, vol. 2","g"
"997884080102311",,"Electronic music devices","g"
"997922170102311",,"Capital sins","g"
"997861600102311",,"The First charge of the machete","g"
"997899520102311",,"John Adams, minimalism and beyond","g"
"997880780102311",,"The Sleeping child","g"
"997840300102311",,"StrataSphere","g"
"997812090102311",,"World Food Day","k"
"997922210102311",,"Miracles are not enough","g"
"997805230102311",,"Brazil","g"
"997884090102311",,"Piano labs in music education","g"
